"Country","Code","ContinentCode","Year","Month","Money supply billion currency units","Unemployment rate percent","Stock market index","GDP.billion.currency.units","Consumer.Price.Index..CPI."
"Australia","AUS","OC",1996,1,"308.47","9.1","39.97",NA,NA
"Australia","AUS","OC",1996,2,"309.2","9.24","40.29",NA,NA
"Australia","AUS","OC",1996,3,"310.38","8.8","39.87",128.02,66.2
"Australia","AUS","OC",1996,4,"310.84","8.66","39.99",NA,NA
"Australia","AUS","OC",1996,5,"310.18","8.37","40.14",NA,NA
"Australia","AUS","OC",1996,6,"314.07","8.01","39.38",133.65,66.7
"Australia","AUS","OC",1996,7,"320","8.03","38.23",NA,NA
"Australia","AUS","OC",1996,8,"320.37","8.46","39.57",NA,NA
"Australia","AUS","OC",1996,9,"320.43","8.58","39.71",135.15,66.9
"Australia","AUS","OC",1996,10,"327.95","8.29","41.36",NA,NA
"Australia","AUS","OC",1996,11,"331.9","8","41.93",NA,NA
"Australia","AUS","OC",1996,12,"335.35","8.54","42",145.94,67
"Australia","AUS","OC",1997,1,"335.34","9.19","43.1",NA,NA
"Australia","AUS","OC",1997,2,"336.68","9.66","43.84",NA,NA
"Australia","AUS","OC",1997,3,"336.8","8.98","43",133.57,67.1
"Australia","AUS","OC",1997,4,"338.79","8.6","42.81",NA,NA
"Australia","AUS","OC",1997,5,"341.02","8.51","45.08",NA,NA
"Australia","AUS","OC",1997,6,"343.42","8.1","47.27",141.59,66.9
"Australia","AUS","OC",1997,7,"346.88","8.03","48.02",NA,NA
"Australia","AUS","OC",1997,8,"347.24","8.27","47.18",NA,NA
"Australia","AUS","OC",1997,9,"348","8.08","47.81",143.27,66.6
"Australia","AUS","OC",1997,10,"351.89","7.61","46.88",NA,NA
"Australia","AUS","OC",1997,11,"353.43","7.55","44.56",NA,NA
"Australia","AUS","OC",1997,12,"356.96","7.78","45.58",154.64,66.8
"Australia","AUS","OC",1998,1,"356.66","8.46","46.8",NA,NA
"Australia","AUS","OC",1998,2,"357.18","8.63","47.38",NA,NA
"Australia","AUS","OC",1998,3,"356.09","8.22","48.68",142.38,67
"Australia","AUS","OC",1998,4,"358.63","7.64","50.34",NA,NA
"Australia","AUS","OC",1998,5,"360.54","7.74","49.12",NA,NA
"Australia","AUS","OC",1998,6,"365.21","7.62","46.65",148.55,67.4
"Australia","AUS","OC",1998,7,"372.08","7.44","49.16",NA,NA
"Australia","AUS","OC",1998,8,"373.89","7.55","46.43",NA,NA
"Australia","AUS","OC",1998,9,"377.33","7.64","45.2",151.42,67.5
"Australia","AUS","OC",1998,10,"379.19","6.93","44.63",NA,NA
"Australia","AUS","OC",1998,11,"380.12","7.22","47.85",NA,NA
